"id"	"_block_io"	"cpu_perc"	"_container"	"_mem_perc"	"_mem_usage"	"_name"	"_net_io"	"pi_ds"	"time"	"date_time"
18	"71.8MB / 8.19kB"	"0.01%"	"1c220f94d19b"	"4.73%"	"12.12MiB / 256MiB"	"abc"	"3.97kB / 0B"	7	1571487152	"2019-10-19 12:12:32"
19	"71.8MB / 8.19kB"	"0.01%"	"1c220f94d19b"	"4.73%"	"12.12MiB / 256MiB"	"abc"	"3.97kB / 0B"	7	1571487162	"2019-10-19 12:12:42"
20	"71.8MB / 8.19kB"	"0.01%"	"1c220f94d19b"	"4.73%"	"12.12MiB / 256MiB"	"abc"	"3.97kB / 0B"	7	1571487172	"2019-10-19 12:12:52"
21	"71.8MB / 8.19kB"	"0.01%"	"1c220f94d19b"	"4.73%"	"12.12MiB / 256MiB"	"abc"	"3.97kB / 0B"	7	1571487183	"2019-10-19 12:13:03"
22	"71.8MB / 8.19kB"	"0.01%"	"1c220f94d19b"	"4.73%"	"12.12MiB / 256MiB"	"abc"	"3.97kB / 0B"	7	1571487193	"2019-10-19 12:13:13"
23	"71.8MB / 8.19kB"	"0.00%"	"1c220f94d19b"	"4.73%"	"12.12MiB / 256MiB"	"abc"	"3.97kB / 0B"	7	1571487203	"2019-10-19 12:13:23"
24	"71.8MB / 8.19kB"	"0.01%"	"1c220f94d19b"	"4.73%"	"12.12MiB / 256MiB"	"abc"	"3.97kB / 0B"	7	1571487213	"2019-10-19 12:13:33"
25	"71.8MB / 8.19kB"	"0.00%"	"1c220f94d19b"	"4.73%"	"12.12MiB / 256MiB"	"abc"	"3.97kB / 0B"	7	1571487223	"2019-10-19 12:13:43"
26	"71.8MB / 8.19kB"	"0.00%"	"1c220f94d19b"	"4.73%"	"12.12MiB / 256MiB"	"abc"	"3.97kB / 0B"	7	1571487233	"2019-10-19 12:13:53"
27	"71.8MB / 8.19kB"	"0.00%"	"1c220f94d19b"	"4.73%"	"12.12MiB / 256MiB"	"abc"	"3.97kB / 0B"	7	1571487243	"2019-10-19 12:14:03"
28	"71.8MB / 8.19kB"	"0.00%"	"1c220f94d19b"	"4.73%"	"12.12MiB / 256MiB"	"abc"	"3.97kB / 0B"	7	1571487253	"2019-10-19 12:14:13"
29	"71.8MB / 8.19kB"	"0.00%"	"1c220f94d19b"	"4.73%"	"12.12MiB / 256MiB"	"abc"	"3.97kB / 0B"	7	1571487263	"2019-10-19 12:14:23"
30	"71.8MB / 8.19kB"	"0.00%"	"1c220f94d19b"	"4.73%"	"12.12MiB / 256MiB"	"abc"	"3.97kB / 0B"	7	1571487273	"2019-10-19 12:14:33"
31	"71.8MB / 8.19kB"	"0.00%"	"1c220f94d19b"	"4.73%"	"12.12MiB / 256MiB"	"abc"	"3.97kB / 0B"	7	1571487283	"2019-10-19 12:14:43"
32	"71.8MB / 8.19kB"	"0.00%"	"1c220f94d19b"	"4.73%"	"12.12MiB / 256MiB"	"abc"	"3.97kB / 0B"	7	1571487293	"2019-10-19 12:14:53"
33	"71.8MB / 8.19kB"	"0.00%"	"1c220f94d19b"	"4.73%"	"12.12MiB / 256MiB"	"abc"	"3.97kB / 0B"	7	1571487303	"2019-10-19 12:15:03"
34	"71.8MB / 8.19kB"	"0.00%"	"1c220f94d19b"	"4.73%"	"12.12MiB / 256MiB"	"abc"	"3.97kB / 0B"	7	1571487313	"2019-10-19 12:15:13"
35	"71.8MB / 8.19kB"	"0.00%"	"1c220f94d19b"	"4.73%"	"12.12MiB / 256MiB"	"abc"	"3.97kB / 0B"	7	1571487323	"2019-10-19 12:15:23"
36	"71.8MB / 8.19kB"	"0.00%"	"1c220f94d19b"	"4.73%"	"12.12MiB / 256MiB"	"abc"	"3.97kB / 0B"	7	1571487333	"2019-10-19 12:15:33"
37	"71.8MB / 8.19kB"	"0.00%"	"1c220f94d19b"	"4.73%"	"12.12MiB / 256MiB"	"abc"	"3.97kB / 0B"	7	1571487343	"2019-10-19 12:15:43"
